date,avg_temp_c,precip_mm,windgust_kph,condition
2014-01-01,-1.7,0.0,44.3,Partially cloudy
2014-01-02,-2.9,2.714,50.0,"Snow, Overcast"
2014-01-03,-10.2,3.202,50.0,"Snow, Partially cloudy"
2014-01-04,-7.7,0.0,30.3,Clear
2014-01-05,-0.6,1.432,32.0,"Snow, Rain, Partially cloudy"
2014-01-06,6.8,3.473,63.5,"Rain, Overcast"
2014-01-07,-13.0,0.0,65.1,Clear
2014-01-08,-9.5,0.0,35.3,Partially cloudy
2014-01-09,-3.0,0.0,29.5,Partially cloudy
2014-01-10,0.3,9.413,16.6,"Snow, Rain, Overcast"
2014-01-11,10.2,5.777,65.9,"Rain, Overcast"
2014-01-12,7.1,0.464,51.6,"Rain, Partially cloudy"
2014-01-13,6.4,0.0,37.9,Partially cloudy
2014-01-14,8.4,4.388,33.1,"Rain, Partially cloudy"
2014-01-15,5.1,0.0,21.2,Partially cloudy
2014-01-16,3.7,0.0,18.7,Overcast
2014-01-17,3.5,0.0,29.5,Partially cloudy
2014-01-18,2.0,0.871,44.9,"Snow, Rain, Partially cloudy"
2014-01-19,-1.0,0.0,50.0,Partially cloudy
2014-01-20,4.1,0.0,52.4,Partially cloudy
2014-01-21,-6.2,1.351,50.2,"Snow, Overcast"
2014-01-22,-11.0,0.0,55.5,Partially cloudy
2014-01-23,-10.0,0.0,46.4,Partially cloudy
2014-01-24,-9.5,0.0,50.0,Partially cloudy
2014-01-25,-4.9,0.956,44.9,"Snow, Partially cloudy"
2014-01-26,-5.6,0.0,60.0,Partially cloudy
2014-01-27,0.5,0.0,51.0,Partially cloudy
2014-01-28,-8.5,0.0,38.9,Partially cloudy
2014-01-29,-8.0,0.534,40.7,"Snow, Partially cloudy"
2014-01-30,-5.5,0.0,25.9,Clear
2014-01-31,0.1,0.0,29.5,Partially cloudy
2014-02-01,3.8,0.0,23.0,Partially cloudy
2014-02-02,6.6,0.049,17.6,"Rain, Partially cloudy"
2014-02-03,0.4,27.543,33.5,"Snow, Rain, Overcast"
2014-02-04,-1.7,0.0,16.6,Partially cloudy
2014-02-05,0.0,34.998,44.3,"Snow, Rain, Overcast"
2014-02-06,-3.0,0.0,51.8,Partially cloudy
2014-02-07,-2.2,0.0,40.7,Partially cloudy
2014-02-08,-3.7,0.0,29.8,Partially cloudy
2014-02-09,-3.7,2.346,18.0,"Snow, Rain, Partially cloudy"
2014-02-10,-4.0,0.0,40.7,Partially cloudy
2014-02-11,-6.1,0.0,35.3,Clear
2014-02-12,-7.1,0.0,25.9,Partially cloudy
2014-02-13,-0.5,41.577,61.7,"Snow, Rain, Overcast"
2014-02-14,2.2,7.16,62.2,"Snow, Rain, Partially cloudy"
2014-02-15,1.0,3.879,51.6,"Snow, Rain, Partially cloudy"
2014-02-16,-3.8,0.0,55.1,Partially cloudy
2014-02-17,-4.1,0.0,47.9,Clear
2014-02-18,0.4,4.115,57.2,"Snow, Rain, Partially cloudy"
2014-02-19,3.7,6.5,42.1,"Rain, Partially cloudy"
2014-02-20,5.4,0.706,37.9,"Rain, Partially cloudy"
2014-02-21,4.0,2.02,52.3,"Snow, Rain, Partially cloudy"
2014-02-22,7.8,0.0,42.5,Clear
2014-02-23,8.7,0.0,33.5,Partially cloudy
2014-02-24,2.2,0.0,51.4,Partially cloudy
2014-02-25,-2.2,0.0,45.7,Partially cloudy
2014-02-26,-3.2,0.685,56.0,"Snow, Partially cloudy"
2014-02-27,-4.4,0.0,62.5,Partially cloudy
2014-02-28,-8.4,0.0,42.2,Clear
